titulo,subtitulo,data,autor,texto
"Mpox “não é a nova covid”, diz diretor da OMS na Europa",Hans Kluge declarou que a doença não requer lockdowns e destacou a importância da vacinação para eliminar a cepa,20.ago.2024 (terça-feira) - 12h50,PODER360,"O diretor da OMS (Organização Mundial da Saúde) na Europa, Hans Kluge,dissenesta 3ª feira (20.ago.2024) que a mpox “não é a nova covid” e que os governos europeus precisam demonstrar forte comprometimento político para eliminá-la. Também pediu que os países do velho continente se solidarizem com a África, epicentro do surto.
Em conversa com jornalistas em Genebra (Suíça),Kluge afirmou que o risco da mpox para a população geral é baixa. Ele afastou o risco deaEuropa passar por lockdownssemelhantes aos da covid.
Diferentemente da covid, transmitida pelo ar, o mpox se dissemina principalmente por meio do contato pele a pele com lesões, inclusive durante relações sexuais.
“Sabemoscomo controlar a mpox e as medidas necessárias para eliminar completamente sua transmissão“, declarou Kunge.
Ele citou que “mudanças de comportamento, ação de saúde pública não discriminatória e vacinação contra mpox” foram fatores de sucesso na Europa em 2022. No entanto, disse que o continente “falhou em ir até o último quilômetro” para erradicar a doença.
Em 14 de agosto, a OMSclassificouo surto de mpox –antes conhecida como varíola dos macacos– como “emergência global”. Na última 5ª feira (15.ago), a Suéciaregistroupela 1ª vez a variante clade 1 do vírus fora do continente africano.
Na 2ª feira (19.ago), o ministro da Saúde da República Democrática do Congo, Samuel Roger Kamba, anunciou em umaliveno Facebook que o país receberá vacinas para lidar com o surto.
Segundo o comunicado, as doses virão dos Estados Unidos e devem chegar na próxima semana. “Acabamos de encerrar as discussões com a Usaid (Agência dos Estados Unidos para Desenvolvimento Internacional) do governo dos EUA. Espero que até a semana que vem possamos ver as vacinas chegarem”, afirmou o ministro.
Ainda na 2ª feira(19.ago),empresafabricante de vacinasEmergent BioSolutionsdisse que doará 50.000 doses de sua vacina contra a doença para aRepública Democrática do Congoe outros países com o surto. Eis aíntegrado anúncio (PDF–95 kB, em inglês).
A Emergent usa a vacina ACAM2000, aprovada para varíola, contra a mpox. No entanto, o FDA (a Anvisa dos Estados Unidos) ainda não aprovou seu uso para essa doença por causa dos efeitos colaterais e à recomendação de não a usar em pessoas com sistema imunológico comprometido. As informações são daReuters."
Bologna anuncia parceria com Betway,Acordo com casa de apostas inclui visibilidade em placas de LED e ações voltadas aos torcedores do clube italiano,20.ago.2024 (terça-feira) - 12h36,PODER360,"OBologna FC 1909anunciou, na 2ª (19.ago.2024), uma parceria com a casa de apostasBetway. O clube italiano se associou à empresa, que tem parceria com equipes inglesas, como o Manchester City.
O acordo também posiciona o Bologna como parceiro global de apostas da Betway. Além disso,a parceria assegura visibilidade por meio de placas de LED no Stadio Renato Dall’Ara, onde o clube italiano manda suas partidas, e oferece experiências exclusivas aos torcedores.
Christoph Winterling, diretor comercial e de marketing do Bologna, definiu a colaboração como um“marco importante”para o clube. O dirigente também exaltou o“compromisso”do Bologna em proporcionar experiências aos torcedores e a força comercial da equipe.
A Betway, que mantém parcerias no campeonato inglês com Manchester City, Arsenal, Brighton e West Ham, vê na colaboração com o Bologna uma oportunidade de expandir sua presença no futebol italiano.
Neal Menashe,CEOdo Super Group, empresa-mãe da Betway, disse que o Bologna tem uma rica história. Além disso, ele mencionou os 7 títulos da Serie A como um dos fatores que tornam a parceria especialmente significativa.
Diferentemente da Inglaterra, a parceria com o clube italiano não fará com que a marca da casa de apostas seja estampada na parte frontal da camisa, uma vez que a regulamentação italiana proíbe patrocínios nos uniformes. No entanto, permite outras formas de publicidade."
Mergulhadores retomam buscas após naufrágio de iate na Sicília,"6 pessoas estão desaparecidas, incluindo o empresário Mike Lynch e o presidente do Conselho de Administração do Morgan Stanley, Jonathan Bloomer",20.ago.2024 (terça-feira) - 12h32,PODER360,"Mergulhadores retomaram nesta 3ª feira (20.ago.2024) as buscas pelos 6 desaparecidos depois que o iate de luxo Bayesian naufragou próximo a Palermo, Sicília (Itália), na 2ª feira (19.ago).
Empublicaçãono X (ex-Twitter), o Vigili del Fuoco, órgão institucional da Itália para serviços de incêndio e resgate, afirmou que as operações foram iniciadas às 8h no horário local (3h no horário de Brasília).

“A entrada no iate é complexa, estão em andamento planejamentos para facilitar o acesso e inspecionar o interior”, disse o órgão.

Segundo aSky News, a guarda costeira italiana trabalha com a teoria de que os desaparecidos estão dentro da embarcação. Os mergulhadores já conseguiram fazer um buraco no casco do iate afundado, mas o acesso ao interior com segurança e a saída continuam sendo uma operação complexa.
Dentre os desaparecidos estão oempresário britânico de tecnologia Mike Lynch, 59 anos, e sua filha Hannah, 18 anos. Outras vítimas não encontradas incluem:
Jonathan Bloomer– britânico, presidente do Conselho de Administração do Morgan Stanley International;
Judy Bloomer – mulher de Jonathan e ex-diretora da construtora Change Real Estate;
Chris Morvillo– advogado norte-american do escritório Clifford Chance;
Neda Morvill0 – mulher de Chris e dona de uma linha de joias de luxo em Nova York sob seu nome de solteira,Neda Nassiri.
No total, 22 pessoas estavam no iate, sendo 12 passageiros e 10 tripulantes. O chef do barco, identificado como Ricardo Thomas, morreu. Outras 15 pessoas sobreviveram e foram resgatadas, incluindo a mulher de Lynch, Angela Bacares, e uma criança de 1 ano.
O incidente ocorreu por causa de uma tempestade que atingiu o mastro da vela. O iate afundou depois de passar por uma tromba d’água, espécie de tornado sobre o mar, segundo informações do jornal italianoCorriere della Sera."
Jobim muda de opinião e agora apoia Alexandre de Moraes,"Ex-presidente do STF solta uma nota desdizendo o que havia afirmado há poucos dias, quando comparou os métodos do Tribunal aos da Lava Jato",20.ago.2024 (terça-feira) - 12h26,PODER360,"Depois de fazer duras crítica à forma como atua o ministro Alexandre de Moraes (que teria métodos “próximos” ao da Lava Jato), o ex-presidente doSTF(Supremo Tribunal Federal) Nelson Jobim fez nesta 3ª feira (20.ago.2024) um recuo completo e, agora, passou a apoiar o magistrado que reprovou há cerca de uma semana.
Em nota (leia íntegra abaixo) publicada pelo site de notícias especializado em Judiciário, o Migalhas, Jobim, 78 anos, há cerca de uma década trabalhando noBanco BTG, declarou“solidariedade” a Moraes e disse que suas medidas foram“legítimas”e desempenhadas com a“seriedade que lhe é peculiar”.
“O Ministro Alexandre de Moraes desempenhou de forma legítima e com a seriedade que lhe é peculiar e que tive a oportunidade de ver, em primeira mão, quando juntos integramos a primeira composição doCNJ(Conselho Nacional de Justiça). Suas atitudes, pautadas pelo rigor, comprovaram-se valorosas na manutenção do Estado de Direito no Brasil”, disse no texto.
O ex-ministro tambémcriticou ataques ao STF e a seus integrantes: “O Supremo Tribunal Federal, instituição da qual fui membro e Presidente, é indispensável à defesa das liberdades democráticas e do Estado de Direito. As críticas impróprias à Corte ou aos seus membros só aproveita aos irresponsáveis ou a quem interessa a deterioração de sua autoridade e a sua deslegitimação social”.
Em entrevista àCNN Brasilque foi ao ar em 10 de agosto de 2024, depoisreproduzidapeloPoder360, Jobim havia afirmado algo oposto do que escreveu em sua nota. Naquela entrevista, ele respondeu a uma pergunta sobre a atuação do STF.
Eis como foi o diálogo:
pergunta–“o ministro Alexandre de Moraes, em especial, o senhor acha que está extrapolando em suas funções?”;
Nelson Jobim–“é difícil fazer juízos. Me dou com o Alexandre há muito tempo. Ele foi membro do Conselho Nacional de Justiça na sua 1ª composição. Agora, olhando objetivamente e sem juízo de valor no sentido adjetivado, creio que os métodos são próximos aos métodos da Lava Jato. Próximos”;
pergunta–“o senhor se refere à quebra de sigilo? Ao levantamento de sigilo de peças?”;
Nelson Jobim–“fica uma coisa complicada porque é fácil você induzir ou tirar uma ilação de que aquilo foi feito para responder a algo fora do Supremo”;
pergunta–“o senhor acredita que dá para comparar o levantamento do sigilo dos áudios dessa reunião em que aparece o ex-presidente Jair Bolsonaro e Alexandre Ramagem com a época em que Sérgio Moro levantou o sigilo daqueles áudios de Lula e Dilma?”;
Nelson Jobim–“objetivamente é a mesma coisa. Só que lá era Lula e Dilma, e aqui é outro. Mas é a mesma coisa. Levantaram dentro de um momento que não deveria ter sido feito para alimentar uma disputa, uma polarização, que está dificultando o país”.
Como se observa, nada do que o ex-presidente do STF disse foi tirado de contexto —como ele sugere agora. Jobim de fato comparou a atuação de Moraes ao que fazia a agora já sepultada operação Lava Jato, quando o juiz federal de 1ª Instância em Curitiba (PR)Sergio Moro(hoje senador) e integrantes do Ministério Público atuavam para processar e punir pessoas acusadas de cometer atos de corrupção na Petrobras e em outros setores –embora com provas documentais e com depoimentos dos acusados, o caso acabou sendo enterrado pelo Supremo.
Depois da entrevista de Jobim, surgiram ainda mais indícios sobre a similaridade da atuação de Moraes com o que fazia a Lava Jato. O jornal “Folha de S.Paulo” teve acesso a cerca de 8GB de um arquivo de celular com mensagens entre integrantes do STF e doTSE(Tribunal Superior Eleitoral) combinando de maneira extraoficial como fazer relatórios para sustentar acusações contra aliados de Jair Bolsonaro.
A partir das publicações das mensagens (leiaaquireportagens doPoder360sobre o caso), houve grande esforço doestablishmentdentro dos Poderes Executivo e Judiciário para minimizar as suspeitas de irregularidades na atuação de Moraes. Parte da mídia tradicional embarcou na explicação de que não houve erros procedimentais nem ilegalidades.

Jobim não se manifestou além de sua nota divulgada nesta 3ª feira (20.ago), mas deve ter sido convencido a mudar de opinião sobre a atuação de Moraes. OPoder360tentou falar com o ex-presidente do STF por meio de seu telefone celular, mas ele não atendeu.
Eis a íntegra da nota:
“Afirmo minha solidariedade ao Ministro Alexandre de Moraes, alvo de críticas  por sua atuação no TSE e no STF.
“As complexas circunstâncias enfrentadas pela sociedade brasileira exigiram e exigem a tomada de medidas céleres e assertivas para atenuar ou mesmo inibir conflitos ou a expansão inapropriada de confrontos, sempre nos termos do Estado Democrático de Direito e com observância das regras do devido processo legal.
“É neste cenário que o Ministro Alexandre de Moraes desempenhou de forma legítima e com a seriedade que lhe é peculiar e que tive a oportunidade de ver, em primeira mão, quando juntos integramos a primeira composição do CNJ. Suas atitudes, pautadas pelo rigor , comprovaram-se valorosas na manutenção do Estado de Direito no Brasil.
“Aliás, em certas oportunidades, minhas opiniões pessoais, exclusivamente, sobre fatos, que tem por objetivo refinar a análise e o progresso de nossa sociedade, são retiradas do contexto em que foram expressas, motivando uma ideia diversa daquela que pretendi transmitir.
“O Supremo Tribunal Federal, instituição da qual fui membro e Presidente, é indispensável à defesa das liberdades democráticas e do Estado de Direito. As críticas impróprias à Corte ou aos seus membros só aproveita aos irresponsáveis ou a quem interessa a deterioração de sua autoridade e a sua deslegitimação social.
“Deste modo, reafirmo a relevância e mérito da atuação do Exmo. Ministro Alexandre de Moraes.
“NELSON AZEVEDO JOBIM”."
Menos de 20% dos MEIs recorrem a serviços de contabilidade,"Pesquisa da plataforma MaisMei mostra que a maior demanda diz respeito à declaração de impostos (53,22%)",20.ago.2024 (terça-feira) - 11h55,PODER360,"Só 17% dos MEIs (Microempreendedores Individuais) recorrem a serviços de contabilidade, segundo uma pesquisa da plataformaMaisMei.Declaração de impostos (53,22%) e emissão de nota fiscal (22,63%) estão entre as tarefas mais demandadas.
Aheadde contabilidade da MaisMei,Kályta Caetano, diz que o cenário é preocupante do ponto de vista de finanças das pequenas empresas. Dentro do recorte dosmicroempreendedoresque recorrem aos serviços, 66% deles só fazem isso quando necessário.
“Sabemos que o regime de tributação do MEI foi pensado para ser mais acessível em termos de custos e tarefas burocráticas. Porém, é mais prudente ter o auxílio de um profissional para avaliar aspectos como média mensal de faturamento e não ultrapassar o teto anual[atualmente em R$ 81.000]”, explica.
Embora menos demandados, planejamento financeiro (5,71%) e dicas de negócios (8,62%) também aparecem na lista de tarefas.
Segundo Caetano, uma análise contábil pode ajudar na melhoria de estratégias de crescimento dos negócios. Ela cita areserva de emergênciacomo exemplo e os benefícios previdenciários do MEI.
De acordo com a executiva, poucos empreendedores conhecem esses benefícios."
Ex-ministro de Lula doa R$ 100 mil para campanha de sobrinho de Dilma,Pedro Rousseff concorre ao cargo de vereador por Belo Horizonte (MG) e tem Walfrido dos Mares Guia como seu maior doador,20.ago.2024 (terça-feira) - 11h49,PODER360,"O sobrinho da ex-presidenteDilma Rousseff(PT-MG) e candidato a vereador por Belo Horizonte,Pedro Rousseff(PT), declarou ter recebido R$ 110 mil em doações para sua campanha eleitoral, sendo o ex-ministro dos governos Lula 1 e 2, Walfrido dos Mares Guia, seu maior doador.
Do total, conforme consta nositedoTSE(Tribunal Superior Eleitoral), R$ 10.000 foram doados pelo seu pai, Pedro Rousseff. Já os demais R$ 100 mil foram depositados pelo ex-ministro.

O empresário mineiro Walfrido dos Mares Guia foi ministro do Turismo e ministro-chefe da Secretaria de Relações Institucionais do presidenteLuiz Inácio Lula da Silva(PT).
Já Pedro, de 24 anos, é neto de um irmão de Dilma. Formado em Administração, já atuou como Conselheiro de Juventude de Belo Horizonte.
De acordo com o TSE, os candidatos a vereador de Belo Horizonte podem gastar, no máximo, R$ 898.994,94 na campanha eleitoral."
Justiça nega pedido para suspender candidatura de Boulos,MP citou suposta prática de abuso de poder político e econômico e gastos ilícitos de recursos,20.ago.2024 (terça-feira) - 11h47,PODER360,"O juiz Antonio Maria Patiño Zorz, da 1ª Zona Eleitoral de São Paulo, negou o pedido do MPE (Ministério Público Eleitoral) para suspender o registro da candidatura do deputado federalGuilherme Boulos(Psol) à Prefeitura de São Paulo. Segundo ele, a suspensão de uma candidatura poderia causar danos irreversíveis, uma vez que a investigação da Justiça Eleitoral pode demorar mais tempo do que rito do registro.
O juiz, no entanto, aceitou a investigação sobre a suposta prática de abuso de poder político e econômico e gastos ilícitos de recurso. Ou seja, ele permitiu que o MPE siga investigando. Em sua decisão (íntegra– PDF – 96 kB), Zorz deu prazo de 5 dias para que o Ministério Público faça adequações ao pedido.
“A concessão da liminar pleiteada com a suspensão do registro de candidatura poderá gerar a ausência do nome do candidato na urna eletrônica em razão de que o rito do registro é mais célere que o da Ação de Investigação Judicial Eleitoral, o que poderá acarretar perigo de irreversibilidade dos efeitos da decisão (nos termos do disposto no art. 300, § 3°, do Código de Processo Civil), nulidade das eleições para Prefeito e realização de novas eleições”, lê-se na decisão publicada na última 6ª feira (16.ago.2024).
O MPE argumentou que Boulos teria se aproveitado de um evento do governo federal, realizado no final de 2023, para alavancar sua candidatura antes da data permitida e usando “serviços custeados da administração pública federal”.
Na decisão, o juiz disse que o MPE “apontou que ficou, desta forma, configurado abuso de poder político e econômico neste evento do governo federal em razão de ficar caracterizado pré-campanha eleitoral com violação à igualdade entre os pré-candidatos, pois, apesar de justificar sua participação no local por ocupar o cargo de deputado federal, não evitou a vinculação de seu nome às eleições municipais futuras”.
O Ministério Público citou também evento de 1° de maio de 2024, em São Paulo. Segundo o MPE, também houve abuso de poder político nessa ocasião, já que o presidente Luiz Inácio Lula da Silva (PT) fezpedido explícitode voto em Boulos.
“Verifico que não foi demonstrado pelo autor de que forma o mero ajuizamento desta ação de investigação judicial eleitoral por suposta prática de abuso de poder político, econômico e/ou apontada captação e/ou gasto ilícito de recursos em eventos supramencionados de alegada pré-campanha eleitoral pode caracterizar fator impeditivo à continuidade da tramitação do requerimento de registro de candidatura do réu”, declarou o juiz.
“Verifico que ainda não houve condenação em trânsito julgado ou condenação em segundo grau de jurisdição pelos fatos descritos nesta representação eleitoral”, acrescentou.“Desse modo, desrespeitar o rito do registro de candidatura previsto na legislação supramencionada violaria o princípio do devido processo legal previsto na Constituição”, completou."
"Foi um erro do PL não ter candidato próprio em SP, diz Salles",Deputado diz que Valdemar o “obrigou” a não disputar a Prefeitura de São Paulo,"20.ago.2024 (terça-feira) - 11h34
atualizado: 20.ago.2024 (terça-feira) - 11h50",PODER360,"O ex-ministro do Meio Ambiente do governo deJair Bolsonaro(PL) e deputado federal,Ricardo Salles(Novo), disse que foi um erro o PL não ter candidato próprio para a Prefeitura de São Paulo. Ele participou na noite de 2ª feira (19.ago.2024) do canalBradock Showe publicou um trecho em seuperfildo X (ex-Twitter).
“Se o Valdemar não tivesse me obrigado a não ser candidato, nada disso estava acontecendo”, declarou. Salles disse que“espera que a direita aprenda”e que deveriam ter candidatura própria. O congressista disse que se propôs a ser candidato.
Assista:

O deputado tem planos de disputar 1 das 2 vagas do Senado por São Paulo nas eleições de 2026 com o deputado federalEduardo Bolsonaro(PL-SP)."
Manchester City anuncia parceria para expandir presença na Ásia,A empresa chinesa Yili Group se tornará oficialmente fornecedora de laticínios do tradicional clube inglês,20.ago.2024 (terça-feira) - 11h30,PODER360,"OManchester City, clube daPremier League, anunciou nesta 3ª feira (20.ago.2024) uma nova parceria regional com oYili Group, empresa de laticínios da China. Oacordo é válido de 2024 a 2027.
O objetivo do City é expandir sua presença no mercado asiático, especialmente na China e no Sudeste Asiático. Ao mesmo tempo, o Yili Group se tornará oficialmente o fornecedor de laticínios do clube inglês.
A colaboração incluirá conteúdo personalizado e campanhas direcionadas aos torcedores do Manchester City que estão na região. Esse acordo é parte da estratégia do clube para se associar a marcas asiáticas.
Dentre os parceiros do Manchester City, estãoMidea Group,Jinko Solar, JNC (China),Asahi,Nissan,Sony(Japão) eQnet, de Hong Kong.
“Estamos felizes em anunciar nossa parceria com o Yili Group. Além disso, eles compartilham nosso compromisso de oferecer produtos e serviços da mais alta qualidade”,afirmouDavid Chang, presidente-executivo do CFG (City Football Group) China.
“A Yili e o Manchester City Football Club sempre se comprometeram a fornecer produtos e serviços de alto padrão. Portanto, esta parceria é possível graças à nossa compatibilidade nos conceitos de desenvolvimento,”disseXu Ke, vice-presidente do Yili Group."
Trump diz que indicaria Musk a cargo no governo se for eleito,O candidato à Casa Branca também sinalizou a possibilidade de eliminar incentivos fiscais para carros elétricos,20.ago.2024 (terça-feira) - 11h22,PODER360,"O candidato do Partido Republicano à Casa Branca, Donald Trump, anunciou sua intenção de oferecer um cargo a Elon Musk, CEO da Tesla e SpaceX, caso seja reeleito.
Em entrevista aReutersna 2ª feira (19.ago.2024), depois de um comício em York, na Pensilvânia, o republicano disse que o bilionário poderia exercer uma função de gabinete ou consultoria.

“Ele é um cara muito inteligente. Eu certamente o nomearia, se ele aceitasse, eu certamente o nomearia. Ele é um cara brilhante”, afirmou.
Muskapoiou publicamente Trumpnas eleições deste ano em 13 de julho, depois que o republicano sofreu umatentado a tirosdurante um comício em Butler, na Pensilvânia.
Em 12 de agosto, o ex-presidentedeu uma entrevista ao dono do X (ex-Twitter). Na ocasião,brincou e disse que a“imigração ilegal salvou sua vida”e quedefende acabar com o Departamento de Educação dos EUA.
Em sua entrevista àReutersna 2ª feira (19.ago), Trump também sinalizou a possibilidade de eliminar um incentivo fiscal de US$ 7.500 para compras de carros elétricos nos EUA, algo que pode afetar aTesla, uma das principais montadoras de veículos do tipo.
“Créditos fiscais e incentivos fiscais geralmente não são uma coisa muito boa”, disse.
O republicano, no entanto, ponderou que não tomou“uma decisão final”sobre a questão.“Sou um grande fã de carros elétricos, mas também sou fã de carros movidos a gasolina, híbridos e o que mais aparecer”, declarou."
Palmeiras fecha patrocínio com Ademicon para o time feminino,"Acordo de R$ 1,5 milhão inclui criação do Consórcio Palmeiras, oferecendo linha de crédito para a compra de veículos",20.ago.2024 (terça-feira) - 11h18,PODER360,"OPalmeirasanunciou na 2ª feira (19.ago.2024) um acordo de patrocínio para a camisa do time feminino com aAdemicon. O clube também programa para 16 de setembro o lançamento de uma linha de consórcio exclusiva para os torcedores.
O contrato tem duração de 1 ano e a Ademicon investirá R$ 1,5 milhão para estampar sua marca na camisa do time feminino. Já a criação do Consórcio Palmeiras oferecerá uma linha de crédito específica para a compra de veículos.
A presidente do Palmeiras, Leila Pereira, disse que o acordo marca o início de uma relação bem-sucedida.“O Palmeiras está sempre em busca de parceiros que agreguem credibilidade à nossa marca, que é uma das maiores do mundo. Esse é o caso da Ademicon, empresa líder em seu segmento no Brasil”, afirmou.
Tatiana Schuchovsky, CEO da Ademicon, disse que a parceria é um“pilar importante”da marca.“Estamos trazendo a essência do consórcio aos torcedores do Palmeiras, que é o planejamento financeiro[…] Pormeio dessa colaboração entre duas líderes mulheres, estamos falando de planejamento e de futuro. Além disso, fortalecemos o incentivo ao esporte”, declarou.
A Ademicon tem atuação em 24 Estados e o Distrito Federal. Há 199 unidades de negócio da empresa, que tem 33 anos no mercado.
Ao todo, são 295 mil clientes atendidos e R$ 51,3 bilhões de crédito sob a sua administração.
“A companhia entende o consórcio como uma ferramenta de planejamento financeiro e também um investimento, que possibilita a conquista de bens e serviços com foco na geração de novos negócios, na formação do patrimônio e na realização de projetos de vida”,diz a Ademicon."
Governo divulga gabarito oficial do Enem dos concursos,Candidatos têm até a 4ª feira (21.ago.2024) para entrar com recursos,20.ago.2024 (terça-feira) - 11h15,PODER360,"Os quase1 milhão de candidatosque fizeram o CNU (Concurso Nacional Unificado) no último domingo (18.ago.2024) já podem conferir os gabaritos preliminares das provas objetivas dos 8 blocos temáticos. Omaterial foi disponibilizadonesta 3ª feira (20.ago), na área do candidato, no site do concurso.
O gabarito é chamado de preliminar porque os candidatos podem entrar com recurso questionando as respostas. Em nota, o Ministério da Gestão e Inovação em Serviços Públicos informou que, com a divulgação, os candidatos têm até a 4ª feira (21.ago) para recorrer. Eis os gabaritos das provas da manhã (íntegra– PDF – 155 kB) e da tarde (íntegra– PDF – 260 kB).
Os recursos, segundo o ministério, devem ser enviados em campo específico na área do candidato. Não serão aceitos recursos via postal, via correio eletrônico, via fax ou fora do prazo.
Os cadernos de provas foramdisponibilizadosna noite do domingo (18.ago). A imagem do cartão-resposta estará liberada em 10 de setembro. Já as notas finais das provas objetivas e a nota preliminar da discursiva serão divulgadas em 8 de outubro.
A divulgação do resultado definitivo do concurso, conforme cronograma previsto pelo ministério, será em 21 de novembro. A etapa de convocação para posse e realização de cursos de formação deve começar em janeiro de 2025.
Leia mais:
CNU registra 62% de abstenção no bloco intermediário
CNU: candidato que não identificou cartão de respostas será eliminado
Brasília tem a maior taxa de comparecimento do Enem dos concursos
Adiamento do Enem dos concursos custou R$ 33 milhões, afirma ministra
Menos de 50% dos inscritos fizeram o Enem dos concursos, diz ministra
Com informações daAgência Brasil."
Combustível do Futuro tem votação adiada por comissão do Senado,Pedidos de vistas de 3 senadores devem deixar análise do texto para a 1ª semana de setembro na Comissão de Infraestrutura e no plenário,20.ago.2024 (terça-feira) - 10h47,Geraldo Campos Jr. repórter,"A Comissão de Infraestrutura do Senado adiou a votação do projeto de lei528 de 2020, conhecido comoCombustível do Futuro. Em reunião nesta 3ª feira (20.ago.2024), 3 senadores apresentaram pedido de vista para analisar por mais tempo o parecer do senadorVeneziano Vital do Rêgo(MDB-PB).
Veneziano tinhadisponibilizadoo relatório na última 4ª feira (14.ago), mas só o leu para a comissão nesta 3ª feira. Os senadoresMarcos Pontes(PL-SP),Esperidião Amin(PP-SC) eAugusta Brito(PT-CE) pediram vistas, que foram concedidas pelo presidente da comissão,Confúcio Moura(MDB-RO), até a 1ª semana de setembro.
Háintençãode que o tema seja votado também no Plenário do Senado no próximo período de esforço concentrado dos senadores, marcado para a 1ª semana do próximo mês.
Uma das principais discussões sobre o texto, o diesel coprocessado daPetrobras, ficou de fora do relatório. O produto fabricado pela estatal a partir de óleos vegetais que são processados juntamente do diesel fóssil nas refinarias não foi enquadrado no mandato criado para mistura de biodiesel.
Aprovado pela Câmara dos Deputadosem 13 de marçodeste ano, o Combustível do Futuro estava com a tramitação parada no Senado aguardando o relatório. Apoiado pelo agro, pelo governo e, em grande parte, pelo setor de energia, o principal ponto de divergência no texto era ainclusão ou não do coprocessado.
O produto, criado pela Petrobras, é feito a partir do processamento de matérias-primas de origem vegetal, como óleo de soja. Esse conteúdo renovável é processado conjuntamente com o derivado de petróleo. A estatal e oIBP(Instituto Brasileiro de Petróleo e Gás) queriam que o coprocessado pudesse contar nos novos mandatos de mistura mínima criados pela lei.
Outro tópico questionado que foi mantido é a mistura de biometano ao gás natural. Pelo texto, haverá um incentivo à mistura de biometano no gás natural comercializado, com metas de redução da emissão de GEE (Gases de Efeito Estufa) em 1% em 2026 e chegará a 10% em 2030.
O texto estabelece que os produtores ou importadores de gás natural deverão comprovar a compra ou a utilização de uma quantidade mínima de biometano ou a aquisição de CGOB (Certificado de Garantia de Origem de Biometano), que será negociado pelo mercado, como, por exemplo, em leilões.
Veneziano fez pequenas mudanças na parte do biometano. Estipulou que o CNPE (Conselho Nacional de Política Energética) poderá rever os percentuais caso a produção de biometano ainda não seja suficiente para a demanda. Já as termelétricas a gás natural que fornecem energia para o SIN (Sistema Interligado Nacional) ficarão de fora da obrigação.
Veneziano também manteve os pontos centrais do Combustível do Futuro, enviado pelo governo e apensado a outros que já tramitavam na Câmara. O texto cria um novo marco regulatório para os biocombustíveis, com incentivos para a produção de biodiesel, etanol, diesel verde, biometano e combustível sustentável de aviação.
etanol na gasolina– a mistura atualmente em 27% aumentará para 30% e poderá chegar a 35%, desde que constatada a sua “viabilidade técnica”;
biodiesel no diesel –adição aumentará 1 ponto percentual a partir de 2025, começando em 15% e atingindo 20% em 2030;
combustível sustentável de aviação– para fomentar a produção e uso do combustível sustentável de aviação (SAF, na sigla em inglês), companhias aéreas serão obrigadas a reduzir emissões de carbono com a implementação gradativa do SAF. Os operadores domésticos terão de reduzir as emissões em 1% ao ano a partir de 2027. O pico será em 2037, com redução de 10%;
diesel verde– programa incentiva a produção de diesel verde, produzido a partir de matérias-primas renováveis, e prevê a adoção gradual desse combustível sustentável na frota de veículos movidos a diesel em todo o país. Pelo texto, caberá ao CNPE (Conselho Nacional de Política Energética) estabelecer, a cada ano (de 2027 a 2037), a mistura mínima obrigatória de diesel verde no diesel, que será limitada a 3%;
combustíveis sintéticos– propõe a criação do marco regulatório para os combustíveis sintéticos, conhecidos como e-Fuel. São produzidos a partir da reação eletroquímica entre o hidrogênio e o gás carbônico. O objetivo é incentivar a produção nacional, que poderá auxiliar na redução das emissões de dióxido de carbono, por serem produzidos usando fontes renováveis, como a biomassa;
captura e estocagem de carbono– a proposta cria ainda um marco legal de captura e estocagem de dióxido de carbono. A ação deve ser autorizada pela ANP (Agência Nacional de Petróleo e Gás Natural). A Petrobras será autorizada a realizar a atividade."
